id;english;german;sentence;sentenceGerman
demo-001;apple;Apfel;I eat an apple every morning.;Ich esse jeden Morgen einen Apfel.
demo-002;river;Fluss;The river is very long.;Der Fluss ist sehr lang.
demo-003;window;Fenster;Please open the window.;Bitte öffne das Fenster.
demo-004;mountain;Berg;We climbed the mountain together.;Wir sind gemeinsam auf den Berg gestiegen.
demo-005;friend;"Freund; Freundin";My friend lives nearby.;Mein Freund wohnt in der Nähe.
demo-006;to build;bauen;They want to build a new bridge.;Sie möchten eine neue Brücke bauen.
demo-007;library;Bibliothek;She studies in the library.;Sie lernt in der Bibliothek.
demo-008;careful;vorsichtig;Be careful with the glass.;Sei vorsichtig mit dem Glas.
demo-009;forest;Wald;We walked through the forest.;Wir gingen durch den Wald.
demo-010;to discover;entdecken;The children discovered a cave.;Die Kinder entdeckten eine Höhle.
demo-011;bicycle;Fahrrad;His bicycle is very fast.;Sein Fahrrad ist sehr schnell.
demo-012;weather;Wetter;The weather is nice today.;Das Wetter ist heute schön.
demo-013;laugh;lachen;We always laugh together.;Wir lachen immer zusammen.
demo-014;market;Markt;The market opens at eight.;Der Markt öffnet um acht Uhr.
demo-015;quiet;ruhig;This street is very quiet.;Diese Straße ist sehr ruhig.
demo-016;journey;Reise;Our journey starts tomorrow.;Unsere Reise beginnt morgen.
demo-017;teacher;"Lehrer; Lehrerin";The teacher explains the task.;Die Lehrerin erklärt die Aufgabe.
demo-018;music;Musik;I like classical music.;Ich mag klassische Musik.
demo-019;to remember;sich erinnern;I remember your birthday.;Ich erinnere mich an deinen Geburtstag.
demo-020;garden;Garten;There are many flowers in the garden.;Im Garten gibt es viele Blumen.
