id;english;german;sentence;sentenceGerman
act-001;apple;Apfel;I eat an apple every day.;Ich esse jeden Tag einen Apfel.
act-002;book;Buch;This book is very interesting.;Dieses Buch ist sehr interessant.
act-003;chair;Stuhl;Please sit on the chair.;Bitte setz dich auf den Stuhl.
act-004;window;Fenster;Open the window, please.;Öffne bitte das Fenster.
act-005;teacher;Lehrerin;The teacher explains the task.;Die Lehrerin erklärt die Aufgabe.
act-006;homework;Hausaufgaben;I do my homework after school.;Ich mache meine Hausaufgaben nach der Schule.
act-007;friend;Freund;My friend lives near me.;Mein Freund wohnt in meiner Nähe.
act-008;question;Frage;I have a question.;Ich habe eine Frage.
act-009;answer;Antwort;Her answer is correct.;Ihre Antwort ist richtig.
act-010;school;Schule;Our school starts at eight.;Unsere Schule beginnt um acht.
